ticker,holder,shares,date_reported,pct_out,value
SOC,Pilgrim Global Advisors LLC                          ,18206121,2025-12-31 00:00:00,12.36,249787984
SOC,"Encompass Capital Advisors, LLC",13489241,2025-12-31 00:00:00,9.16,185072390
SOC,Capital International Investors,11592407,2025-12-31 00:00:00,7.87,159047827
SOC,"Alyeska Investment Group, L.p.",11091773,2025-12-31 00:00:00,7.53,152179128
SOC,"FourWorld Capital Management, LLC",8105608,2025-12-31 00:00:00,5.5,111208943
SOC,Vanguard Group Inc,7557670,2025-12-31 00:00:00,5.13,103691234
SOC,Blackrock Inc.,6709689,2025-12-31 00:00:00,4.56,92056934
SOC,Morgan Stanley,5233890,2025-12-31 00:00:00,3.55,71808972
SOC,State Street Corporation,3775884,2025-12-31 00:00:00,2.56,51805129
SOC,Millennium Management Llc,3232576,2025-12-31 00:00:00,2.2,44350943
